Date,Close,High,Low,Open,Volume
2000-01-03,0.8384959697723389,0.8427092886877551,0.7617156634540744,0.7855926041554245,535796800
2000-01-04,0.7678024768829346,0.8286642816854611,0.7579706645329163,0.8108740379899855,512377600
2000-01-05,0.779037594795227,0.8281958395663948,0.7715473237498426,0.7771650145323437,778321600
2000-01-06,0.711621105670929,0.8015102779896757,0.711621105670929,0.7949562706837889,767972800
2000-01-07,0.7453297972679138,0.7565660804117029,0.7153670589686022,0.7228573309926467,460734400
2000-01-10,0.7322211265563965,0.7659290324507801,0.7097486558943772,0.7640564515776919,505064000
2000-01-11,0.6947669982910156,0.7443933981917754,0.6779130766668493,0.718643933159018,441548800
2000-01-12,0.6531001925468445,0.7153672763033673,0.6479497569832293,0.7116212640455517,976068800
2000-01-13,0.7247299551963806,0.7397113512861003,0.6928946322734421,0.7077585638885455,1032684800
2000-01-14,0.7523520588874817,0.7659289819093256,0.7443936282066345,0.7490750550773586,390376000
2000-01-18,0.7785696387290955,0.794019991596388,0.7523520097628008,0.7565661287741984,459177600
2000-01-19,0.7982333898544312,0.8146192105890038,0.774356445298395,0.7912104237671839,597643200
2000-01-20,0.8502005338668823,0.910126022971567,0.8502005338668823,0.8651818811399705,1831132800
2000-01-21,0.8338146805763245,0.8558182441758555,0.8253872912646885,0.8558182441758555,495924800
2000-01-24,0.7958924174308777,0.8445816545347153,0.7874649811456712,0.8122781823171579,440876800
2000-01-25,0.8408366441726685,0.8473915513716024,0.766866035119716,0.786528856482515,497145600
2000-01-26,0.8253872990608215,0.8553500945192333,0.8221103448980043,0.8239828758464235,367158400
2000-01-27,0.8239827752113342,0.8464552941129416,0.8015103063158883,0.8150872291663448,340144000
2000-01-28,0.7612475156784058,0.8305367502902841,0.753757243073763,0.8104058206890609,423348800
2000-01-31,0.7771651148796082,0.7781014301350211,0.7078759357513026,0.7565660792482141,701680000
2000-02-01,0.7509474754333496,0.7865288047273572,0.7490749449652468,0.7790376827318524,318035200
2000-02-02,0.7401794195175171,0.7649926241380232,0.7266024481294054,0.7546935062688737,464195200
2000-02-03,0.7738882899284363,0.7809112555833375,0.7509476122469338,0.7514157699523296,475193600
2000-02-04,0.8090015053749084,0.8239828526766834,0.7762290143043892,0.7785697529333447,425320000
2000-02-07,0.854413628578186,0.8558181015514266,0.7935518329109709,0.8090013856597275,441067200
