Date,Close,High,Low,Open,Volume
2000-01-03,17.141271591186523,17.674798799531516,17.045510297381014,17.401195102944342,13458200
2000-01-04,16.812952041625977,17.113916195341005,16.744551097599835,16.936073740873034,14510800
2000-01-05,17.72951889038086,17.89368110232883,17.031829489601982,17.072870042588978,17485000
2000-01-06,18.646095275878906,18.782897148776037,17.55168029270186,17.647441603729852,19461600
2000-01-07,18.59137535095215,18.8786592967726,18.38617253250897,18.81025835729154,16603800
2000-01-10,18.33145523071289,18.52297789730243,18.290414659300847,18.427216564007658,8545400
2000-01-11,18.38616180419922,18.659765402475994,18.304080724716187,18.331441084543865,8722600
2000-01-12,18.276731491088867,18.468254126474527,18.126249420428703,18.222010738121533,10314200
2000-01-13,18.70081329345703,18.823934961080376,18.194646437672166,18.276727549421064,12056000
2000-01-14,18.33145523071289,18.714500563891967,18.167292945064716,18.714500563891967,11268800
2000-01-18,18.550325393676758,18.714487565302218,18.030478516862807,18.112559602675535,11929400
2000-01-19,18.728174209594727,18.79657513804467,18.31776863889506,18.44089031010496,13088800
2000-01-20,18.31776237487793,18.659766900174382,18.0988794786882,18.646086719162522,9613400
2000-01-21,18.605037689208984,18.646078213523417,18.2356729703791,18.38615489286535,14343600
2000-01-24,18.440893173217773,18.892339371078446,18.16728941693858,18.70081674168301,12459400
2000-01-25,18.39984703063965,18.85129309161445,18.345126295976037,18.386166846973747,11921600
2000-01-26,18.276731491088867,18.509294691200026,18.098889043945036,18.399853185265364,9298000
2000-01-27,17.72951889038086,18.23568571055377,17.45591520380091,18.23568571055377,10548400
2000-01-28,17.264406204223633,17.729532837300972,17.264406204223633,17.510649715852814,10361000
2000-01-31,18.139921188354492,18.290403189162863,17.04550663702089,17.209668819720928,14612200
2000-02-01,18.208322525024414,18.263043253874976,17.811597240857843,18.235682889449695,10665400
2000-02-02,18.345125198364258,18.57768830677007,18.222003552737654,18.222003552737654,11562800
2000-02-03,18.030479431152344,18.386164154376896,17.52431270964048,18.26304251941455,11610800
2000-02-04,17.702150344848633,18.276717821265667,17.524308030719553,18.276717821265667,11436200
2000-02-07,17.6747989654541,17.784240445116357,17.401195266298465,17.401195266298465,7101200
2000-02-08,17.278072357177734,17.921041003881893,17.223351621288018,17.729518428267887,9372000
2000-02-09,16.78337860107422,17.017245352072795,16.728351130251024,16.893433542720608,12408200
2000-02-10,16.700834274291992,17.099783363216595,16.57702248807401,16.78337546510398,13475600
2000-02-11,16.26060676574707,16.879665398960793,15.999226453945722,16.728339955286327,12465800
2000-02-14,16.82464027404785,16.934695157279563,16.384420741121005,16.39817760152497,9753600
2000-02-15,17.457456588745117,17.732593808425893,17.044750759223955,17.11353506414415,10783600
2000-02-16,17.608789443969727,17.691330644488335,17.25111090838909,17.388679575920104,10264200
2000-02-17,17.14105796813965,17.388681598498007,17.01724615296047,17.388681598498007,11678400
2000-02-18,16.50823211669922,17.030992800394692,16.50823211669922,17.017235940297443,13800600
2000-02-22,16.604530334472656,16.934694980725634,16.398177430564544,16.783369517859686,10854800
2000-02-23,16.425695419311523,16.687075832181637,16.09553068726506,16.315640508629368,8881600
2000-02-24,16.02674674987793,16.164315391507785,15.737852602455238,15.99923302155196,10786400
2000-02-25,15.641559600830078,16.370673636752677,15.407692834590755,15.971724447285595,11800600
2000-02-28,16.178075790405273,16.57702493829792,15.380177494619979,15.627801103656795,11875200
2000-02-29,16.57701873779297,16.64580304790829,16.05425798091651,16.178069739124094,10469200
2000-03-01,16.74212074279785,16.783391377332276,16.109304346603356,16.590795082838298,9884600
2000-03-02,16.948461532592773,17.09978708199092,16.63205356566937,16.7283516425591,9802200
2000-03-03,16.659563064575195,16.838402304739915,16.34315517812992,16.838402304739915,10207800
2000-03-06,16.054256439208984,16.508232842374277,15.847903528679307,16.28812307114262,10497400
2000-03-07,17.608789443969727,17.82889931201935,15.847910499572754,15.875424233078956,22811600
2000-03-08,17.5262393951416,18.049000067838133,17.058506161676284,17.058506161676284,19981400
2000-03-09,17.70508575439453,17.73259948517059,17.044756215769095,17.168568004261363,10906200
2000-03-10,16.955331802368164,17.65005330826641,16.797127895084405,17.608782723757606,9430000
2000-03-13,16.700834274291992,17.15481082375792,16.370669511044046,16.838402925645305,9467400
2000-03-14,17.003490447998047,17.168572879532007,16.42570193762918,16.535756891985155,9047600
2000-03-15,17.11354637145996,17.168573851754044,16.43945973785744,16.989734540798274,11879800
2000-03-16,17.553754806518555,17.59502538991946,16.700829416233173,17.16856269477677,11600800
2000-03-17,16.975980758666992,17.540012534279104,16.94846701351518,17.457471298823673,14929200
2000-03-20,16.480722427368164,17.017240102382654,16.356910656210975,16.769616560068275,10685600
2000-03-21,16.948461532592773,17.11354395011803,16.645810433796473,16.673324170050684,10880600
2000-03-22,16.494487762451172,16.948464489858086,16.384432798231312,16.948464489858086,14253200
2000-03-23,16.618289947509766,16.742101710363727,16.35690955926251,16.425693871959155,10115600
2000-03-24,17.003490447998047,17.07227479447053,16.64581184634113,16.673325584930122,8804400
2000-03-27,16.841842651367188,17.20983880486857,16.673321048361878,17.00348582159677,9663000
2000-03-28,17.388669967651367,17.388669967651367,16.64579957346373,16.64579957346373,8269600
2000-03-29,17.718839645385742,18.035247496196202,17.113537669922252,17.209835711473264,20753600
2000-03-30,17.30613899230957,18.007739221727526,17.09978598365723,17.92519801826659,13274200
2000-03-31,17.16857147216797,17.595034385338806,17.127300867667564,17.361167626503185,12599600
2000-04-03,17.718839645385742,17.773867097700602,17.099780806843537,17.113537669922252,9955600
2000-04-04,18.159061431884766,18.241602620211513,17.595029978318646,17.595029978318646,16389200
2000-04-05,17.553754806518555,18.296625307734857,17.498727361984013,18.049001807329425,13026800
2000-04-06,17.99397087097168,18.04899830482786,17.622535692442447,17.73259056015481,8265200
2000-04-07,17.512483596801758,17.91143255540918,17.402428711668676,17.82889139155937,7825600
2000-04-10,17.223587036132812,17.52623792654409,17.196073318822698,17.388669339993513,9092400
2000-04-11,17.47121810913086,17.815139725452333,17.319892597949412,17.374920056560846,10666400
2000-04-12,17.59503173828125,17.938953390710516,17.540004273892567,17.60878860437842,8594400
2000-04-13,17.608789443969727,17.82889931201935,17.3474089756608,17.595032577216625,8909400
2000-04-14,17.333646774291992,17.9939761752174,17.16856442406064,17.567513437119743,11848200
2000-04-17,16.618289947509766,17.47121542494818,16.535748772273788,17.30613307447623,16206400
2000-04-18,16.769622802734375,16.907191488564845,16.50824229965648,16.728352196985234,12060000
2000-04-19,17.04475975036621,17.264869642219203,16.72835178082753,16.78337925379078,12100000
2000-04-20,17.388669967651367,17.388669967651367,16.962207333951056,17.044748488860794,8058000
2000-04-24,17.581268310546875,17.82889180787852,16.989723289143498,17.30613109128949,8909200
2000-04-25,17.82889747619629,17.93895239888886,17.636301361484293,17.663815092157435,11704600
2000-04-26,17.63629722595215,17.82889329550233,17.457458018512696,17.82889329550233,8418000
2000-04-27,17.760120391845703,17.815147875631435,17.306143650613397,17.526253585756333,9662200
2000-04-28,17.099790573120117,17.705092894292513,17.099790573120117,17.705092894292513,9728400
2000-05-01,17.16857147216797,17.40243823100359,17.09978713133396,17.237355813001976,8859400
2000-05-02,17.223587036132812,17.512481067889034,17.16855960151258,17.209830177477755,8087200
